run_id,method,seed,round,test_acc,test_loss,train_acc,train_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
fedavg_seed0_50r,FedAvg,0,0,0.11708045041378375,2.9263233840505976,0.11888622210690192,2.924337872268258,,,,,,3,"993,859,298",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,1,0.10297110297110297,2.6744371993160687,0.10197197716658017,2.680586069102675,,,,,,3,"507,818,452",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,2,0.11694478361145028,2.2873146649277722,0.1174429164504411,2.2895822999278805,,,,,,3,"37,726,846",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,3,0.09957943291276625,2.746725274545822,0.10038271925272445,2.7510443532732607,,,,,,3,"642,762,909",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,4,0.1063627730294397,2.516007400079783,0.1047126362221069,2.521829220173918,,,,,,3,"698,577,763",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,5,0.09184642517975851,4.565907071047032,0.09002010897768552,4.564499619247027,,,,,,3,"544,515,193",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,6,0.1558811558811559,2.179390666443107,0.1600609756097561,2.1825902811249165,,,,,,3,"978,22,909",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,7,0.30714964048297383,2.03659013661289,0.3050077841203944,2.0408476824110027,,,,,,3,"778,334,271",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,8,0.1177587844254511,3.1965807351212847,0.11543201868188895,3.2023053125294187,,,,,,3,"908,265,627",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
fedavg_seed0_50r,FedAvg,0,9,0.11260344593677928,5.942789109440372,0.11126427088738973,5.942273636069457,,,,,,3,"2,879,57",,,,,,7a94c0688b96c26c59095fde903d05ed45d0c0d4eb5cd1f4442d2be05fce9b18,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
